Multi_Cell_Image_Id,Multi_Cell_Image_Name,Single_Cell_Image_Id,TableNumber,ImageNumber,Image_Metadata_Plate_DAPI,Image_Metadata_Well_DAPI,Replicate,Image_Metadata_Compound,Image_Metadata_Concentration,moa
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,0,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,1,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,2,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,3,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,4,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,5,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,6,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,7,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,8,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,9,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,10,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,11,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,12,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,13,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,14,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,15,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,16,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,17,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,18,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,19,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,20,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,21,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,22,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,23,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,24,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,25,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,26,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,27,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,28,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,29,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,30,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,31,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,32,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,33,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,34,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,35,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,36,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,37,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,38,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,39,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,40,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,41,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,42,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,43,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,44,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,45,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,46,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,47,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,48,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,49,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,50,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,51,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,52,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,53,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,54,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,55,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,56,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,57,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,58,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,59,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,60,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,61,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,62,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,63,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,64,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,65,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,66,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,67,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,68,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,69,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,70,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,71,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,72,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,73,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,74,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,75,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,76,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,77,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,78,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,79,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,80,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,81,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,82,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,83,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,84,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,85,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,86,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,87,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,88,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,89,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,90,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,91,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,92,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,93,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,94,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,95,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,96,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,97,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,98,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,99,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,100,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,101,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,102,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,103,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,104,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,105,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,106,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,107,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,108,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,109,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,110,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,111,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,112,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,113,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,114,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,115,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,116,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,117,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
1305,Week2_180607_C11_s2_w174B88ABC-6FC9-4287-83DC-330C8A13263D,118,2,2958,Week2_24361,C11,1,taxol,0.3,Microtubule stabilizers
